,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time_of_day,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year,Pit_stop_summary_Pos,Pit_stop_summary_Avg_Speed
60,3,7,Kimi Räikkönen RAI,Ferrari,52,+11.000s,15,1,7,Ferrari,49,16:30:02,1:36.844,217.388,1,7,Ferrari,29,15:56:49,30.152,30.152,2,7,Ferrari,1:33.253,2,7,Ferrari,1:34.953,1:33.663,1:33.253,18,2,7,Ferrari,1:34.338,+0.337s,16,2,7,Ferrari,1:34.383,+0.263s,36,1,7,Ferrari,1:36.074,,19,Russia,2017,,
61,4,44,Lewis Hamilton HAM,Mercedes,52,+36.320s,12,6,44,Mercedes,18,15:38:50,1:38.398,213.955,1,44,Mercedes,30,15:58:36,29.739,29.739,4,44,Mercedes,1:33.767,4,44,Mercedes,1:34.409,1:33.760,1:33.767,19,4,44,Mercedes,1:34.542,+0.541s,19,4,44,Mercedes,1:34.829,+0.709s,34,3,44,Mercedes,1:36.681,+0.607s,23,Russia,2017,,
62,5,33,Max Verstappen VER,Red Bull Racing TAG Heuer,52,+60.416s,10,8,33,Red Bull Racing TAG Heuer,47,16:27:35,1:38.429,213.888,1,33,Red Bull Racing TAG Heuer,29,15:57:19,29.567,29.567,7,33,Red Bull Racing TAG Heuer,1:35.161,7,33,Red Bull Racing TAG Heuer,1:35.301,1:35.221,1:35.161,18,5,33,Red Bull Racing TAG Heuer,1:35.452,+1.451s,21,5,33,Red Bull Racing TAG Heuer,1:35.540,+1.420s,15,4,33,Red Bull Racing TAG Heuer,1:37.174,+1.100s,19,Russia,2017,,
63,6,11,Sergio Perez PER,Force India Mercedes,52,+86.788s,8,9,11,Force India Mercedes,51,16:34:35,1:38.661,213.385,1,11,Force India Mercedes,27,15:54:17,29.868,29.868,9,11,Force India Mercedes,1:35.337,9,11,Force India Mercedes,1:36.185,1:35.513,1:35.337,18,15,11,Force India Mercedes,1:36.962,+2.961s,21,10,11,Force India Mercedes,1:36.600,+2.480s,38,7,11,Force India Mercedes,1:37.457,+1.383s,29,Russia,2017,,
64,7,31,Esteban Ocon OCO,Force India Mercedes,52,+95.004s,6,10,31,Force India Mercedes,50,16:33:04,1:38.745,213.203,1,31,Force India Mercedes,26,15:52:42,30.253,30.253,10,31,Force India Mercedes,1:35.430,10,31,Force India Mercedes,1:35.372,1:35.729,1:35.430,20,12,31,Force India Mercedes,1:36.676,+2.675s,22,11,31,Force India Mercedes,1:36.654,+2.534s,39,10,31,Force India Mercedes,1:38.065,+1.991s,28,Russia,2017,,
65,8,27,Nico Hulkenberg HUL,Renault,52,+96.188s,4,7,27,Renault,52,16:36:23,1:38.418,213.912,1,27,Renault,40,16:16:07,30.280,30.280,8,27,Renault,1:35.285,8,27,Renault,1:35.507,1:35.328,1:35.285,21,7,27,Renault,1:35.662,+1.661s,15,8,27,Renault,1:36.329,+2.209s,38,,,,,,,Russia,2017,,
66,9,19,Felipe Massa MAS,Williams Mercedes,51,+1 lap,2,4,19,Williams Mercedes,45,16:24:55,1:38.232,214.317,1,19,Williams Mercedes,21,15:44:10,29.923,29.923,6,19,Williams Mercedes,1:35.110,6,19,Williams Mercedes,1:35.828,1:35.049,1:35.110,20,6,19,Williams Mercedes,1:35.471,+1.470s,17,7,19,Williams Mercedes,1:36.261,+2.141s,39,8,19,Williams Mercedes,1:37.900,+1.826s,29,Russia,2017,,
67,9,19,Felipe Massa MAS,Williams Mercedes,51,+1 lap,2,4,19,Williams Mercedes,45,16:24:55,1:38.232,214.317,2,19,Williams Mercedes,41,16:17:53,29.920,59.843,6,19,Williams Mercedes,1:35.110,6,19,Williams Mercedes,1:35.828,1:35.049,1:35.110,20,6,19,Williams Mercedes,1:35.471,+1.470s,17,7,19,Williams Mercedes,1:36.261,+2.141s,39,8,19,Williams Mercedes,1:37.900,+1.826s,29,Russia,2017,,
68,10,55,Carlos Sainz SAI,Toro Rosso,51,+1 lap,1,11,55,Toro Rosso,51,16:35:03,1:38.858,212.960,1,55,Toro Rosso,24,15:49:33,29.973,29.973,14,55,Toro Rosso,1:35.948,11,55,Toro Rosso,1:35.827,1:35.948,,18,9,55,Toro Rosso,1:36.164,+2.163s,20,15,55,Toro Rosso,1:37.083,+2.963s,36,14,55,Toro Rosso,1:38.976,+2.902s,17,Russia,2017,,
69,11,18,Lance Stroll STR,Williams Mercedes,51,+1 lap,0,12,18,Williams Mercedes,50,16:33:29,1:38.870,212.934,1,18,Williams Mercedes,26,15:52:58,29.791,29.791,11,18,Williams Mercedes,1:35.964,12,18,Williams Mercedes,1:36.279,1:35.964,,18,11,18,Williams Mercedes,1:36.649,+2.648s,19,19,18,Williams Mercedes,1:37.747,+3.627s,36,9,18,Williams Mercedes,1:37.944,+1.870s,30,Russia,2017,,
70,12,26,Daniil Kvyat KVY,Toro Rosso,51,+1 lap,0,5,26,Toro Rosso,50,16:33:34,1:38.300,214.168,1,26,Toro Rosso,21,15:44:36,29.991,29.991,12,26,Toro Rosso,1:35.968,13,26,Toro Rosso,1:35.984,1:35.968,,18,13,26,Toro Rosso,1:36.846,+2.845s,18,17,26,Toro Rosso,1:37.300,+3.180s,35,11,26,Toro Rosso,1:38.496,+2.422s,17,Russia,2017,,
71,13,20,Kevin Magnussen MAG,Haas Ferrari,51,+1 lap,0,13,20,Haas Ferrari,40,16:17:07,1:39.566,211.445,1,20,Haas Ferrari,21,15:44:30,36.559,36.559,13,20,Haas Ferrari,1:36.017,14,20,Haas Ferrari,1:36.408,1:36.017,,16,10,20,Haas Ferrari,1:36.556,+2.555s,19,9,20,Haas Ferrari,1:36.506,+2.386s,31,12,20,Haas Ferrari,1:38.747,+2.673s,23,Russia,2017,,
72,14,2,Stoffel Vandoorne VAN,McLaren Honda,51,+1 lap,0,14,2,McLaren Honda,47,16:29:20,1:39.790,210.971,1,2,McLaren Honda,1,15:08:55,30.006,30.006,20,2,McLaren Honda,1:37.070,17,2,McLaren Honda,1:37.070,,,9,17,2,McLaren Honda,1:37.182,+3.181s,15,16,2,McLaren Honda,1:37.125,+3.005s,25,17,2,McLaren Honda,1:39.541,+3.467s,19,Russia,2017,,
73,14,2,Stoffel Vandoorne VAN,McLaren Honda,51,+1 lap,0,14,2,McLaren Honda,47,16:29:20,1:39.790,210.971,2,2,McLaren Honda,24,15:49:57,35.998,1:06.004,20,2,McLaren Honda,1:37.070,17,2,McLaren Honda,1:37.070,,,9,17,2,McLaren Honda,1:37.182,+3.181s,15,16,2,McLaren Honda,1:37.125,+3.005s,25,17,2,McLaren Honda,1:39.541,+3.467s,19,Russia,2017,,
74,15,9,Marcus Ericsson ERI,Sauber Ferrari,51,+1 lap,0,15,9,Sauber Ferrari,48,16:31:02,1:39.835,210.875,1,9,Sauber Ferrari,1,15:08:58,32.235,32.235,18,9,Sauber Ferrari,1:37.507,19,9,Sauber Ferrari,1:37.507,,,9,18,9,Sauber Ferrari,1:37.503,+3.502s,21,20,9,Sauber Ferrari,1:37.819,+3.699s,29,19,9,Sauber Ferrari,1:40.079,+4.005s,20,Russia,2017,,
75,15,9,Marcus Ericsson ERI,Sauber Ferrari,51,+1 lap,0,15,9,Sauber Ferrari,48,16:31:02,1:39.835,210.875,2,9,Sauber Ferrari,21,15:44:59,30.655,1:02.890,18,9,Sauber Ferrari,1:37.507,19,9,Sauber Ferrari,1:37.507,,,9,18,9,Sauber Ferrari,1:37.503,+3.502s,21,20,9,Sauber Ferrari,1:37.819,+3.699s,29,19,9,Sauber Ferrari,1:40.079,+4.005s,20,Russia,2017,,
76,16,94,Pascal Wehrlein WEH,Sauber Ferrari,50,+2 laps,0,16,94,Sauber Ferrari,37,16:12:38,1:40.922,208.604,1,94,Sauber Ferrari,2,15:11:28,31.266,31.266,17,94,Sauber Ferrari,1:37.332,18,94,Sauber Ferrari,1:37.332,,,9,19,94,Sauber Ferrari,1:37.657,+3.656s,17,18,94,Sauber Ferrari,1:37.441,+3.321s,30,18,94,Sauber Ferrari,1:39.731,+3.657s,21,Russia,2017,,
77,16,94,Pascal Wehrlein WEH,Sauber Ferrari,50,+2 laps,0,16,94,Sauber Ferrari,37,16:12:38,1:40.922,208.604,2,94,Sauber Ferrari,20,15:43:16,30.799,1:02.065,17,94,Sauber Ferrari,1:37.332,18,94,Sauber Ferrari,1:37.332,,,9,19,94,Sauber Ferrari,1:37.657,+3.656s,17,18,94,Sauber Ferrari,1:37.441,+3.321s,30,18,94,Sauber Ferrari,1:39.731,+3.657s,21,Russia,2017,,
78,NC,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,5,DNF,0,17,3,Red Bull Racing TAG Heuer,4,15:15:41,1:42.285,205.824,,,,,,,,5,3,Red Bull Racing TAG Heuer,1:34.905,5,3,Red Bull Racing TAG Heuer,1:35.560,1:35.483,1:34.905,20,8,3,Red Bull Racing TAG Heuer,1:35.830,+1.829s,24,6,3,Red Bull Racing TAG Heuer,1:35.910,+1.790s,26,6,3,Red Bull Racing TAG Heuer,1:37.290,+1.216s,19,Russia,2017,,
79,NC,30,Jolyon Palmer PAL,Renault,0,DNF,0,,,,,,,,,,,,,,,16,30,Renault,1:36.462,16,30,Renault,1:36.462,,,9,20,30,Renault,,,4,13,30,Renault,1:36.771,+2.651s,22,15,30,Renault,1:39.158,+3.084s,16,Russia,2017,,
80,NC,8,Romain Grosjean GRO,Haas Ferrari,0,DNF,0,,,,,,,,,,,,,,,19,8,Haas Ferrari,1:37.620,20,8,Haas Ferrari,1:37.620,,,9,16,8,Haas Ferrari,1:37.164,+3.163s,20,14,8,Haas Ferrari,1:37.039,+2.919s,31,16,8,Haas Ferrari,1:39.533,+3.459s,17,Russia,2017,,
81,NC,14,Fernando Alonso ALO,McLaren Honda,0,DNS,0,,,,,,,,,,,,,,,15,14,McLaren Honda,1:36.660,15,14,McLaren Honda,1:36.353,1:36.660,,14,14,14,McLaren Honda,1:36.869,+2.868s,12,12,14,McLaren Honda,1:36.765,+2.645s,27,13,14,McLaren Honda,1:38.813,+2.739s,16,Russia,2017,,
82,,,Sergey Sirotkin SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,46,Renault,,,2,Russia,2017,,
83,1,44,Lewis Hamilton HAM,Mercedes,66,1:35:56.497,25,1,44,Mercedes,64,15:36:15,1:23.593,200.471,1,44,Mercedes,21,14:33:26,21.544,21.544,1,44,Mercedes,1:19.149,1,44,Mercedes,1:20.511,1:20.210,1:19.149,12,3,44,Mercedes,1:20.595,+0.381s,12,1,44,Mercedes,1:20.802,,39,1,44,Mercedes,1:21.521,,28,Spain,2017,,
84,1,44,Lewis Hamilton HAM,Mercedes,66,1:35:56.497,25,1,44,Mercedes,64,15:36:15,1:23.593,200.471,2,44,Mercedes,36,14:56:30,21.722,43.266,1,44,Mercedes,1:19.149,1,44,Mercedes,1:20.511,1:20.210,1:19.149,12,3,44,Mercedes,1:20.595,+0.381s,12,1,44,Mercedes,1:20.802,,39,1,44,Mercedes,1:21.521,,28,Spain,2017,,
85,2,5,Sebastian Vettel VET,Ferrari,66,+3.490s,18,2,5,Ferrari,43,15:06:44,1:23.674,200.277,1,5,Ferrari,14,14:23:19,22.499,22.499,2,5,Ferrari,1:19.200,2,5,Ferrari,1:20.939,1:20.295,1:19.200,16,2,5,Ferrari,1:20.456,+0.242s,7,4,5,Ferrari,1:21.220,+0.418s,36,4,5,Ferrari,1:22.600,+1.079s,23,Spain,2017,,
86,2,5,Sebastian Vettel VET,Ferrari,66,+3.490s,18,2,5,Ferrari,43,15:06:44,1:23.674,200.277,2,5,Ferrari,37,14:57:53,22.307,44.806,2,5,Ferrari,1:19.200,2,5,Ferrari,1:20.939,1:20.295,1:19.200,16,2,5,Ferrari,1:20.456,+0.242s,7,4,5,Ferrari,1:21.220,+0.418s,36,4,5,Ferrari,1:22.600,+1.079s,23,Spain,2017,,
87,3,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,66,+75.820s,15,3,3,Red Bull Racing TAG Heuer,40,15:03:22,1:23.686,200.248,1,3,Red Bull Racing TAG Heuer,21,14:33:54,21.811,21.811,6,3,Red Bull Racing TAG Heuer,1:20.175,6,3,Red Bull Racing TAG Heuer,1:21.704,1:20.855,1:20.175,12,6,3,Red Bull Racing TAG Heuer,1:21.249,+1.035s,15,6,3,Red Bull Racing TAG Heuer,1:21.585,+0.783s,35,6,3,Red Bull Racing TAG Heuer,1:23.084,+1.563s,17,Spain,2017,,
88,3,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,66,+75.820s,15,3,3,Red Bull Racing TAG Heuer,40,15:03:22,1:23.686,200.248,2,3,Red Bull Racing TAG Heuer,38,15:00:10,21.918,43.729,6,3,Red Bull Racing TAG Heuer,1:20.175,6,3,Red Bull Racing TAG Heuer,1:21.704,1:20.855,1:20.175,12,6,3,Red Bull Racing TAG Heuer,1:21.249,+1.035s,15,6,3,Red Bull Racing TAG Heuer,1:21.585,+0.783s,35,6,3,Red Bull Racing TAG Heuer,1:23.084,+1.563s,17,Spain,2017,,
89,4,11,Sergio Perez PER,Force India Mercedes,65,+1 lap,12,7,11,Force India Mercedes,51,15:19:19,1:25.755,195.417,1,11,Force India Mercedes,18,14:29:42,25.082,25.082,8,11,Force India Mercedes,1:21.070,8,11,Force India Mercedes,1:21.998,1:21.239,1:21.070,14,13,11,Force India Mercedes,1:22.237,+2.023s,19,14,11,Force India Mercedes,1:22.722,+1.920s,32,11,11,Force India Mercedes,1:24.188,+2.667s,23,Spain,2017,,
90,4,11,Sergio Perez PER,Force India Mercedes,65,+1 lap,12,7,11,Force India Mercedes,51,15:19:19,1:25.755,195.417,2,11,Force India Mercedes,34,14:53:46,23.107,48.189,8,11,Force India Mercedes,1:21.070,8,11,Force India Mercedes,1:21.998,1:21.239,1:21.070,14,13,11,Force India Mercedes,1:22.237,+2.023s,19,14,11,Force India Mercedes,1:22.722,+1.920s,32,11,11,Force India Mercedes,1:24.188,+2.667s,23,Spain,2017,,
91,5,31,Esteban Ocon OCO,Force India Mercedes,65,+1 lap,10,11,31,Force India Mercedes,40,15:03:36,1:26.276,194.237,1,31,Force India Mercedes,16,14:26:51,22.616,22.616,10,31,Force India Mercedes,1:21.272,10,31,Force India Mercedes,1:21.901,1:21.148,1:21.272,17,14,31,Force India Mercedes,1:22.297,+2.083s,22,12,31,Force India Mercedes,1:22.520,+1.718s,37,12,31,Force India Mercedes,1:24.324,+2.803s,22,Spain,2017,,
92,5,31,Esteban Ocon OCO,Force India Mercedes,65,+1 lap,10,11,31,Force India Mercedes,40,15:03:36,1:26.276,194.237,2,31,Force India Mercedes,34,14:53:58,22.643,45.259,10,31,Force India Mercedes,1:21.272,10,31,Force India Mercedes,1:21.901,1:21.148,1:21.272,17,14,31,Force India Mercedes,1:22.297,+2.083s,22,12,31,Force India Mercedes,1:22.520,+1.718s,37,12,31,Force India Mercedes,1:24.324,+2.803s,22,Spain,2017,,
93,6,27,Nico Hulkenberg HUL,Renault,65,+1 lap,8,15,27,Renault,56,15:27:06,1:26.703,193.280,1,27,Renault,15,14:25:28,22.490,22.490,13,27,Renault,1:21.397,13,27,Renault,1:22.091,1:21.397,,12,7,27,Renault,1:21.670,+1.456s,13,7,27,Renault,1:21.687,+0.885s,40,9,27,Renault,1:23.993,+2.472s,24,Spain,2017,,
94,6,27,Nico Hulkenberg HUL,Renault,65,+1 lap,8,15,27,Renault,56,15:27:06,1:26.703,193.280,2,27,Renault,33,14:52:15,22.362,44.852,13,27,Renault,1:21.397,13,27,Renault,1:22.091,1:21.397,,12,7,27,Renault,1:21.670,+1.456s,13,7,27,Renault,1:21.687,+0.885s,40,9,27,Renault,1:23.993,+2.472s,24,Spain,2017,,
95,7,55,Carlos Sainz SAI,Toro Rosso,65,+1 lap,6,9,55,Toro Rosso,61,15:34:28,1:26.186,194.439,1,55,Toro Rosso,13,14:22:36,22.432,22.432,12,55,Toro Rosso,1:21.371,12,55,Toro Rosso,1:21.941,1:21.371,,12,9,55,Toro Rosso,1:21.835,+1.621s,19,10,55,Toro Rosso,1:22.265,+1.463s,34,10,55,Toro Rosso,1:24.004,+2.483s,21,Spain,2017,,
96,7,55,Carlos Sainz SAI,Toro Rosso,65,+1 lap,6,9,55,Toro Rosso,61,15:34:28,1:26.186,194.439,2,55,Toro Rosso,34,14:54:20,21.934,44.366,12,55,Toro Rosso,1:21.371,12,55,Toro Rosso,1:21.941,1:21.371,,12,9,55,Toro Rosso,1:21.835,+1.621s,19,10,55,Toro Rosso,1:22.265,+1.463s,34,10,55,Toro Rosso,1:24.004,+2.483s,21,Spain,2017,,
97,8,94,Pascal Wehrlein WEH,Sauber Ferrari,65,+1 lap,4,14,94,Sauber Ferrari,58,15:30:06,1:26.476,193.787,1,94,Sauber Ferrari,33,14:52:14,23.445,23.445,15,94,Sauber Ferrari,1:21.803,15,94,Sauber Ferrari,1:22.327,1:21.803,,15,20,94,Sauber Ferrari,1:22.974,+2.760s,19,19,94,Sauber Ferrari,1:23.599,+2.797s,31,17,94,Sauber Ferrari,1:25.182,+3.661s,24,Spain,2017,,
98,9,26,Daniil Kvyat KVY,Toro Rosso,65,+1 lap,2,8,26,Toro Rosso,37,14:59:44,1:25.976,194.914,1,26,Toro Rosso,1,14:04:51,22.235,22.235,19,26,Toro Rosso,1:22.746,20,26,Toro Rosso,1:22.746,,,6,15,26,Toro Rosso,1:22.391,+2.177s,15,18,26,Toro Rosso,1:23.236,+2.434s,27,15,26,Toro Rosso,1:24.642,+3.121s,18,Spain,2017,,
99,9,26,Daniil Kvyat KVY,Toro Rosso,65,+1 lap,2,8,26,Toro Rosso,37,14:59:44,1:25.976,194.914,2,26,Toro Rosso,33,14:52:37,22.117,44.352,19,26,Toro Rosso,1:22.746,20,26,Toro Rosso,1:22.746,,,6,15,26,Toro Rosso,1:22.391,+2.177s,15,18,26,Toro Rosso,1:23.236,+2.434s,27,15,26,Toro Rosso,1:24.642,+3.121s,18,Spain,2017,,
100,10,8,Romain Grosjean GRO,Haas Ferrari,65,+1 lap,1,17,8,Haas Ferrari,50,15:18:38,1:26.871,192.906,1,8,Haas Ferrari,19,14:31:26,22.866,22.866,14,8,Haas Ferrari,1:21.517,14,8,Haas Ferrari,1:21.822,1:21.517,,13,11,8,Haas Ferrari,1:22.128,+1.914s,21,11,8,Haas Ferrari,1:22.371,+1.569s,36,8,8,Haas Ferrari,1:23.758,+2.237s,23,Spain,2017,,
101,10,8,Romain Grosjean GRO,Haas Ferrari,65,+1 lap,1,17,8,Haas Ferrari,50,15:18:38,1:26.871,192.906,2,8,Haas Ferrari,34,14:54:22,22.641,45.507,14,8,Haas Ferrari,1:21.517,14,8,Haas Ferrari,1:21.822,1:21.517,,13,11,8,Haas Ferrari,1:22.128,+1.914s,21,11,8,Haas Ferrari,1:22.371,+1.569s,36,8,8,Haas Ferrari,1:23.758,+2.237s,23,Spain,2017,,
102,11,9,Marcus Ericsson ERI,Sauber Ferrari,64,+2 laps,0,10,9,Sauber Ferrari,60,15:33:24,1:26.213,194.379,1,9,Sauber Ferrari,18,14:30:11,22.995,22.995,16,9,Sauber Ferrari,1:22.332,16,9,Sauber Ferrari,1:22.332,,,9,16,9,Sauber Ferrari,1:22.513,+2.299s,20,16,9,Sauber Ferrari,1:23.082,+2.280s,37,16,9,Sauber Ferrari,1:24.966,+3.445s,23,Spain,2017,,
103,11,9,Marcus Ericsson ERI,Sauber Ferrari,64,+2 laps,0,10,9,Sauber Ferrari,60,15:33:24,1:26.213,194.379,2,9,Sauber Ferrari,32,14:51:03,22.775,45.770,16,9,Sauber Ferrari,1:22.332,16,9,Sauber Ferrari,1:22.332,,,9,16,9,Sauber Ferrari,1:22.513,+2.299s,20,16,9,Sauber Ferrari,1:23.082,+2.280s,37,16,9,Sauber Ferrari,1:24.966,+3.445s,23,Spain,2017,,
104,12,14,Fernando Alonso ALO,McLaren Honda,64,+2 laps,0,4,14,McLaren Honda,64,15:39:26,1:23.894,199.752,1,14,McLaren Honda,12,14:21:10,22.690,22.690,7,14,McLaren Honda,1:21.048,7,14,McLaren Honda,1:22.015,1:21.251,1:21.048,15,10,14,McLaren Honda,1:22.093,+1.879s,16,20,14,McLaren Honda,1:24.077,+3.275s,21,20,14,McLaren Honda,,,1,Spain,2017,,
105,12,14,Fernando Alonso ALO,McLaren Honda,64,+2 laps,0,4,14,McLaren Honda,64,15:39:26,1:23.894,199.752,2,14,McLaren Honda,31,14:49:39,23.354,46.044,7,14,McLaren Honda,1:21.048,7,14,McLaren Honda,1:22.015,1:21.251,1:21.048,15,10,14,McLaren Honda,1:22.093,+1.879s,16,20,14,McLaren Honda,1:24.077,+3.275s,21,20,14,McLaren Honda,,,1,Spain,2017,,
106,12,14,Fernando Alonso ALO,McLaren Honda,64,+2 laps,0,4,14,McLaren Honda,64,15:39:26,1:23.894,199.752,3,14,McLaren Honda,51,15:20:24,22.923,1:08.967,7,14,McLaren Honda,1:21.048,7,14,McLaren Honda,1:22.015,1:21.251,1:21.048,15,10,14,McLaren Honda,1:22.093,+1.879s,16,20,14,McLaren Honda,1:24.077,+3.275s,21,20,14,McLaren Honda,,,1,Spain,2017,,
107,13,19,Felipe Massa MAS,Williams Mercedes,64,+2 laps,0,13,19,Williams Mercedes,64,15:39:31,1:26.472,193.796,1,19,Williams Mercedes,1,14:05:02,40.612,40.612,9,19,Williams Mercedes,1:21.232,9,19,Williams Mercedes,1:22.138,1:21.222,1:21.232,15,8,19,Williams Mercedes,1:21.746,+1.532s,19,9,19,Williams Mercedes,1:22.015,+1.213s,38,14,19,Williams Mercedes,1:24.618,+3.097s,34,Spain,2017,,
108,13,19,Felipe Massa MAS,Williams Mercedes,64,+2 laps,0,13,19,Williams Mercedes,64,15:39:31,1:26.472,193.796,2,19,Williams Mercedes,13,14:23:17,22.292,1:02.904,9,19,Williams Mercedes,1:21.232,9,19,Williams Mercedes,1:22.138,1:21.222,1:21.232,15,8,19,Williams Mercedes,1:21.746,+1.532s,19,9,19,Williams Mercedes,1:22.015,+1.213s,38,14,19,Williams Mercedes,1:24.618,+3.097s,34,Spain,2017,,
109,13,19,Felipe Massa MAS,Williams Mercedes,64,+2 laps,0,13,19,Williams Mercedes,64,15:39:31,1:26.472,193.796,3,19,Williams Mercedes,33,14:53:10,23.066,1:25.970,9,19,Williams Mercedes,1:21.232,9,19,Williams Mercedes,1:22.138,1:21.222,1:21.232,15,8,19,Williams Mercedes,1:21.746,+1.532s,19,9,19,Williams Mercedes,1:22.015,+1.213s,38,14,19,Williams Mercedes,1:24.618,+3.097s,34,Spain,2017,,
110,14,20,Kevin Magnussen MAG,Haas Ferrari,64,+2 laps,0,12,20,Haas Ferrari,15,14:25:52,1:26.371,194.023,1,20,Haas Ferrari,13,14:22:35,22.703,22.703,11,20,Haas Ferrari,1:21.329,11,20,Haas Ferrari,1:21.945,1:21.329,,13,12,20,Haas Ferrari,1:22.214,+2.000s,12,15,20,Haas Ferrari,1:23.007,+2.205s,32,7,20,Haas Ferrari,1:23.670,+2.149s,22,Spain,2017,,
111,14,20,Kevin Magnussen MAG,Haas Ferrari,64,+2 laps,0,12,20,Haas Ferrari,15,14:25:52,1:26.371,194.023,2,20,Haas Ferrari,33,14:52:15,23.814,46.517,11,20,Haas Ferrari,1:21.329,11,20,Haas Ferrari,1:21.945,1:21.329,,13,12,20,Haas Ferrari,1:22.214,+2.000s,12,15,20,Haas Ferrari,1:23.007,+2.205s,32,7,20,Haas Ferrari,1:23.670,+2.149s,22,Spain,2017,,
112,14,20,Kevin Magnussen MAG,Haas Ferrari,64,+2 laps,0,12,20,Haas Ferrari,15,14:25:52,1:26.371,194.023,3,20,Haas Ferrari,63,15:37:43,25.052,1:11.569,11,20,Haas Ferrari,1:21.329,11,20,Haas Ferrari,1:21.945,1:21.329,,13,12,20,Haas Ferrari,1:22.214,+2.000s,12,15,20,Haas Ferrari,1:23.007,+2.205s,32,7,20,Haas Ferrari,1:23.670,+2.149s,22,Spain,2017,,
113,15,30,Jolyon Palmer PAL,Renault,64,+2 laps,0,6,30,Renault,44,15:10:45,1:24.843,197.517,1,30,Renault,2,14:06:27,23.159,23.159,17,30,Renault,1:22.401,17,30,Renault,1:22.401,,,6,18,30,Renault,1:22.755,+2.541s,13,8,30,Renault,1:21.992,+1.190s,43,,,,,,,Spain,2017,,
114,15,30,Jolyon Palmer PAL,Renault,64,+2 laps,0,6,30,Renault,44,15:10:45,1:24.843,197.517,2,30,Renault,21,14:35:11,22.762,45.921,17,30,Renault,1:22.401,17,30,Renault,1:22.401,,,6,18,30,Renault,1:22.755,+2.541s,13,8,30,Renault,1:21.992,+1.190s,43,,,,,,,Spain,2017,,
115,15,30,Jolyon Palmer PAL,Renault,64,+2 laps,0,6,30,Renault,44,15:10:45,1:24.843,197.517,3,30,Renault,42,15:07:31,24.750,1:10.671,17,30,Renault,1:22.401,17,30,Renault,1:22.401,,,6,18,30,Renault,1:22.755,+2.541s,13,8,30,Renault,1:21.992,+1.190s,43,,,,,,,Spain,2017,,
116,16,18,Lance Stroll STR,Williams Mercedes,64,+2 laps,0,16,18,Williams Mercedes,50,15:18:54,1:26.838,192.980,1,18,Williams Mercedes,12,14:21:16,22.100,22.100,18,18,Williams Mercedes,1:22.411,18,18,Williams Mercedes,1:22.411,,,7,17,18,Williams Mercedes,1:22.574,+2.360s,19,17,18,Williams Mercedes,1:23.221,+2.419s,35,18,18,Williams Mercedes,1:25.919,+4.398s,34,Spain,2017,,
117,16,18,Lance Stroll STR,Williams Mercedes,64,+2 laps,0,16,18,Williams Mercedes,50,15:18:54,1:26.838,192.980,2,18,Williams Mercedes,33,14:52:52,22.071,44.171,18,18,Williams Mercedes,1:22.411,18,18,Williams Mercedes,1:22.411,,,7,17,18,Williams Mercedes,1:22.574,+2.360s,19,17,18,Williams Mercedes,1:23.221,+2.419s,35,18,18,Williams Mercedes,1:25.919,+4.398s,34,Spain,2017,,
118,NC,77,Valtteri Bottas BOT,Mercedes,38,DNF,0,5,77,Mercedes,28,14:44:12,1:24.696,197.860,1,77,Mercedes,26,14:41:01,21.689,21.689,3,77,Mercedes,1:19.373,3,77,Mercedes,1:20.991,1:20.300,1:19.373,15,4,77,Mercedes,1:20.868,+0.654s,7,2,77,Mercedes,1:20.892,+0.090s,38,2,77,Mercedes,1:21.550,+0.029s,30,Spain,2017,,
119,NC,2,Stoffel Vandoorne VAN,McLaren Honda,32,DNF,0,18,2,McLaren Honda,14,14:24:41,1:27.554,191.401,1,2,McLaren Honda,12,14:21:24,22.547,22.547,20,2,McLaren Honda,1:22.532,19,2,McLaren Honda,1:22.532,,,9,19,2,McLaren Honda,1:22.853,+2.639s,15,13,2,McLaren Honda,1:22.693,+1.891s,36,13,2,McLaren Honda,1:24.400,+2.879s,24,Spain,2017,,
